2 0 0 0 0
2 1 0 0 0
2 2 0 0 0
2 3 0 5 0
3 0 0 0 0
3 1 0 0 0
3 2 0 5 0
3 3 0 5 0
4 0 0 0 0
4 1 0 0 0
4 2 0 10 0
4 3 0 0 0
5 0 0 0 0
5 1 0 0 0
5 2 0 10 0
5 3 0 10 0
6 0 8 0 0
6 1 8 0 0
6 2 8 10 0
6 3 0 10 0
7 0 8 0 0
7 1 8 0 0
7 2 8 10 0
7 3 0 10 0
8 0 8 0 0
8 1 8 0 0
8 2 8 10 0
8 3 0 10 0
9 0 8 10 0
9 1 8 0 0
9 2 8 10 0
9 3 0 10 0
10 0 8 10 10
10 1 8 0 10
10 2 8 10 10
10 3 0 10 0
11 0 8 10 10
11 1 8 0 20
11 2 8 10 25
11 3 8 10 0
12 0 8 10 20
12 1 8 0 15
12 2 8 10 40
12 3 8 10 10
13 0 8 10 15
13 1 8 0 25
13 2 8 10 50
13 3 8 10 10
14 0 8 10 25
14 1 8 0 25
14 2 8 20 50
14 3 8 10 10
15 0 8 0 35
15 1 8 0 35
15 2 8 20 50
15 3 8 10 10
16 0 8 0 45
16 1 8 0 45
16 2 8 20 50
16 3 8 10 20
17 0 8 0 50
17 1 8 0 50
17 2 8 20 50
17 3 8 10 20
18 0 8 10 50
18 1 8 10 50
18 2 8 30 50
18 3 8 20 20
19 0 8 10 50
19 1 8 20 50
19 2 8 45 50
